instance_id,artist_name,track_name,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,obtained_date,valence,music_genre
22744.0,SVDDEN DEATH,Last Life,34.0,0.00187,0.774,248571.0,0.944,0.191,A#,0.111,0.072,Minor,0.0782,140.063,4-Apr,0.369,Electronic
42466.0,Space Laces,Whiplash,33.0,0.00577,0.5670000000000001,182400.0,0.973,1.14e-05,F,0.0661,0.892,Minor,0.332,74.986,4-Apr,0.629,Electronic
78713.0,Herobust,WTF,50.0,0.00258,0.589,257600.0,0.982,0.0112,C,0.1889999999999999,0.598,Major,0.327,150.005,4-Apr,0.284,Electronic
31559.0,Subtronics,Wook Laser,34.0,0.0378,0.536,307200.0,0.991,0.0197,B,0.584,0.085,Minor,0.205,150.003,4-Apr,0.16,Electronic
83526.0,Lil Texas,Anthem X,24.0,0.0218,0.629,196800.0,0.986,0.13,E,0.425,0.423,Minor,0.151,100.012,4-Apr,0.0789,Electronic
29030.0,Herobust,WTF - Subtronics Remix,32.0,0.0463,0.627,249600.0,0.996,0.0419,C#,0.17,0.42,Major,0.373,74.98100000000001,4-Apr,0.217,Electronic
43592.0,SVDDEN DEATH,Gates Of Hell,35.0,0.00321,0.705,192000.0,0.975,0.000292,A#,0.268,0.2269999999999999,Minor,0.377,72.529,4-Apr,0.409,Electronic
89252.0,Subtronics,Liberator,21.0,0.00614,0.617,254897.0,0.957,0.00501,C,0.6509999999999999,0.045,Major,0.473,145.041,4-Apr,0.3929999999999999,Electronic
50650.0,SVDDEN DEATH,Break 'Em Down,35.0,0.00303,0.643,260571.0,0.927,0.00375,C#,0.0816,0.2289999999999999,Major,0.135,139.839,4-Apr,0.244,Electronic
36234.0,Borgore,Are You Sure Now?,50.0,0.0147,0.497,184552.0,0.99,0.0,E,0.326,0.594,Minor,0.374,145.045,4-Apr,0.165,Electronic
25755.0,empty_field,Tear It Down,37.0,0.0346,0.491,177633.0,0.993,4.58e-06,C#,0.105,0.4539999999999999,Major,0.47,149.80200000000002,4-Apr,0.535,Electronic
38333.0,Dillon Francis,Without You - Doctor P & Flux Pavilion Remix,28.0,0.00029,0.615,239357.0,0.992,0.055,C,0.317,1.314,Major,0.045,140.013,4-Apr,0.39,Electronic
86618.0,Justice,We Are Your Friends - Justice Vs. Simian,41.0,0.0102,0.6459999999999999,164960.0,0.977,0.769,A,0.201,1.585,Minor,0.1669999999999999,123.016,4-Apr,0.606,Electronic
52680.0,SVDDEN DEATH,Angel Style,43.0,0.023,0.625,244966.0,0.958,0.002,D,0.3289999999999999,0.034,Major,0.408,145.071,4-Apr,0.61,Electronic
32470.0,Lil Texas,Total Knock Out,29.0,0.00448,0.64,172800.0,0.999,0.11,F#,0.8220000000000001,0.0,Minor,0.151,99.986,4-Apr,0.173,Electronic
67401.0,SVDDEN DEATH,Rock Like This,27.0,0.0009449999999999,0.748,247286.0,0.965,0.0006309999999999,C#,0.307,0.203,Major,0.2239999999999999,140.00799999999998,4-Apr,0.372,Electronic
31531.0,Subtronics,Thermal Expansion,28.0,0.066,0.857,212276.0,0.978,0.0712,D,0.108,0.6809999999999999,Major,0.374,145.031,4-Apr,0.389,Electronic
83560.0,Dubloadz,Cuck Life,28.0,0.0159,0.682,313600.0,0.951,0.000993,C#,0.631,0.118,Major,0.25,150.064,4-Apr,0.5479999999999999,Electronic
